ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4268
Date: 12/4/2019
Start time: 4:34:02 PM
Stop time: 4:34:09 PM
Overruns: 0  Errorframes: 0                                          
Baudrate: 125 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:00:41.868","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.872","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.876","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.880","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.884","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.888","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.892","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.896","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.901","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.905","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.909","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.913","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.917","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.921","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.925","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.929","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.933","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.937","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.942","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.946","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.950","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.954","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.958","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.962","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.966","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.970","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.974","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.978","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.982","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.987","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.991","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.995","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.999","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.003","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.007","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.011","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.015","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.019","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.023","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.027","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.032","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.036","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.040","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.044","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.048","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.052","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.056","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.060","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.064","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.068","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.073","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.077","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.081","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.085","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.089","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.093","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.097","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.101","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.105","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.109","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.113","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.118","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.122","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.126","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.130","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.134","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.138","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.142","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.146","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.150","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.154","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.158","CC","Std","","00 1A 00 1A 00 96 09 09"
